id,listing_url,scrape_id,last_scraped,name,description,host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,rating_vs_accuracy
1500357746931968672,https://www.airbnb.com/rooms/1500357746931968672,20250926170004.0,2025-09-27,Comfortable with view of Christ Redeemer (AP|401),"Apartment for up to 2 guests. Fully equipped. Located on the border between Leblon and Baixo Gávea. Five minutes from the Jockey Club, Praça Santos Dumont Gastronomic Center, Gávea Shopping Mall, supermarket, shops in general, and 10 minutes from the famous Dias Ferreira Street and its sophisticated restaurants, as well as close to the Botanical Garden, Guinle Park, PUC, and Flamengo Club/Museum. Fifteen minutes' walk to Leblon Beach.",2011-11-19,Leblon,-22.97855,-43.22434,Entire home/apt,2.0,1.0,1.0,1.0,401.0,,,False
16452851,https://www.airbnb.com/rooms/16452851,20250926170004.0,2025-09-27,Apartamento no Maracanã,"- Check-in 1 p.m. and Check-out 11 a.m. (with flexibility).<br />-Great location.<br />-It is less than 200 meters from the São Cristóvão Metro, near the Maracanã stadium.<br />- Easy access from the south<br />-Air-conditioned bedroom (1 full bed, with the option to add a mattress)<br />-Living room (double sofa bed, with the possibility of adding a mattress)<br />-Note: The terrace is a common area.",2016-10-23,Maracanã,-22.91135,-43.21984,Entire home/apt,3.0,1.0,1.0,1.0,144.0,4.96,5.0,False
21683987,https://www.airbnb.com/rooms/21683987,20250926170004.0,2025-09-27,Apt. very airy 3 bedrooms / until 15 people,"Beautiful Apartment, 3 bedrooms for couple (all with double bed and 2 simple beds). 2 bthrooms. Room with retractil sofa (Jardim de Inverno 4 people), TV smart LED 50”, TV Cable, internet, dinner table for 6. Equipped kitchen with micro-waves, oven and refrigerator, granite countertops. Service area with washing machine. Silent, airy, excellent localization, placed near to commerces.",2016-08-24,Copacabana,-22.97963,-43.19126,Entire home/apt,15.0,2.0,3.0,7.0,735.0,4.64,4.55,False
5285438,https://www.airbnb.com/rooms/5285438,20250926170004.0,2025-09-27,Copacabana/Ipanema 100m from the beach,"FURNISHED ACCOMMODATION (REFRIGERATOR, MICROWAVE, FAN, TV, WI-FI) SILENT, CLOSE TO THE BEACH (POSTO 6), 5 MIN WALKING TO ARPOADOR, 10 MINUTES TO IPANEMA / METRO. VERY GOOD FOR 2 PEOPLE + 1 CHILD (2 Single Beds that together form a Queen Bed and a foldable mattress).<br />No Air conditioning in the flat.",2015-02-07,Copacabana,-22.98624,-43.1891,Entire home/apt,4.0,1.0,0.0,2.0,194.0,4.72,4.72,True
957841509276495914,https://www.airbnb.com/rooms/957841509276495914,20250926170004.0,2025-09-27,Almost paradise - Arpoador,"The location is unbelievable!<br />Central among the biggest tourist attractions in Rio de Janeiro. Do you want the Copacabana sun? 400 steps and done! Oh! Have you changed your mind and want the sophistication of Ipanema? That's it! Sunset in Arpoador? A little walk only! Subway at the end of the street? We have!<br />Due to the concierge and security, self check-in and check-out are available 24 hours a day.<br />Come visit us!",2016-10-12,Copacabana,-22.9852374,-43.1929058,Entire home/apt,4.0,1.0,1.0,2.0,217.0,4.88,4.9,False
1067504897291227876,https://www.airbnb.com/rooms/1067504897291227876,20250926170004.0,2025-09-27,Apartamento Botafogo,"The group will have easy access to anything you need at this place with a great location. Close to shopping mall, bus stops, nightlife and sights (Sugarloaf Mountain, Flamengo Landfill and Copacabana beach)<br />Safe and with a 24-hour doorman",2016-05-10,Botafogo,-22.9521509084432,-43.17626070830548,Entire home/apt,4.0,1.5,2.0,3.0,1360.0,,,False
1400166534439625751,https://www.airbnb.com/rooms/1400166534439625751,20250926170004.0,2025-09-27,Perto da Praia e Metrô com Vaga de garagem,"2 bedroom apartment (1 ensuite) with spacious balcony and 1 parking space. Privileged location, in front of Pomar Square on a quiet and tree-lined street. Just 7 minutes walk to Barra beach and 9 minutes to the famous Pepê Barra. The subway Gardens Oceanic Station is less than a 7-minute walk. Perfect for those who value practicality and good location.",2011-10-04,Barra da Tijuca,-23.0109867,-43.3096859,Entire home/apt,4.0,2.0,2.0,3.0,502.0,5.0,5.0,True
44541227,https://www.airbnb.com/rooms/44541227,20250926170004.0,2025-09-27,Impecável apto recém-reformado e linda decoração,,2017-10-29,Ipanema,-22.98423,-43.20177,Entire home/apt,2.0,2.0,1.0,1.0,550.0,4.99,4.98,False
812172656580667872,https://www.airbnb.com/rooms/812172656580667872,20250926170004.0,2025-09-27,Quarto Confortável/Praça da Rep.,"Comfortable Room overlooking Central Park Carioca (Praça da Republica), with a double bed, TV, ceiling and floor fan, study/work table, closet, bookshelf, two mirrors, as well as a spacious and individual balcony, with large windows overlooking Central Brazil and Praça da Republica. The apartment has a living room, kitchen, bathroom and another bedroom, with all the necessary equipment for a house.",2023-01-12,Centro,-22.90761,-43.18848,Private room,1.0,1.0,1.0,1.0,110.0,5.0,5.0,True
1057894700016002521,https://www.airbnb.com/rooms/1057894700016002521,20250926170004.0,2025-09-26,Apto ideal pra sua família,"Embrace simplicity in this quiet, well-located place.",2015-01-18,Marechal Hermes,-22.86664492555512,-43.377685790606606,Entire home/apt,4.0,1.0,2.0,2.0,405.0,5.0,5.0,True
